trip_id,customer_id,promo_id,promo_name,redeemed_date,promo_cost
TRIP0043304,CUST01022,PROMO0012,Back to School,2025-04-14,9.53
TRIP0092016,CUST02189,PROMO0027,Business Class,2025-12-09,8.75
TRIP0125261,CUST02965,PROMO0000,Christmas Bonus,2025-11-12,13.15
TRIP0048237,CUST01140,PROMO0013,Senior Special,2025-10-06,8.85
TRIP0095695,CUST02272,PROMO0000,Christmas Bonus,2025-11-02,12.02
TRIP0090839,CUST02162,PROMO0038,Black Friday,2024-08-15,6.54
TRIP0002730,CUST00067,PROMO0013,Senior Special,2025-10-26,9.1
TRIP0101505,CUST02412,PROMO0013,Senior Special,2025-10-14,6.69
TRIP0078851,CUST01877,PROMO0008,Business Class,2024-12-16,17.35
TRIP0075481,CUST01800,PROMO0021,Holiday Rush,2024-12-04,12.03
TRIP0110530,CUST02627,PROMO0011,Corporate Account,2025-09-26,16.96
TRIP0116174,CUST02761,PROMO0000,Christmas Bonus,2025-11-18,8.5
TRIP0010419,CUST00248,PROMO0004,Black Friday,2025-09-23,4.67
TRIP0087032,CUST02073,PROMO0031,Business Class,2025-08-21,8.66
TRIP0120654,CUST02859,PROMO0012,Back to School,2025-04-11,11.04
TRIP0017706,CUST00419,PROMO0027,Business Class,2024-04-23,12.01
TRIP0056482,CUST01343,PROMO0024,Student Discount,2025-06-18,20.15
TRIP0036517,CUST00865,PROMO0031,Business Class,2024-09-07,14.5
TRIP0029694,CUST00703,PROMO0012,Back to School,2025-05-29,8.98
TRIP0066466,CUST01587,PROMO0006,Refer & Earn,2023-11-13,15.22
TRIP0075163,CUST01791,PROMO0029,Group Ride Deal,2025-07-27,3.46
TRIP0114405,CUST02718,PROMO0009,City Explorer,2024-12-12,24.8
TRIP0027577,CUST00653,PROMO0031,Business Class,2024-11-25,10.97
TRIP0014225,CUST00339,PROMO0028,Festival Pass,2025-08-18,12.06
TRIP0042184,CUST00994,PROMO0029,Group Ride Deal,2025-08-11,3.23
TRIP0124035,CUST02938,PROMO0000,Christmas Bonus,2025-11-09,10.93
TRIP0061071,CUST01457,PROMO0016,Holiday Rush,2025-08-10,4.48
TRIP0049543,CUST01173,PROMO0013,Senior Special,2025-10-14,14.12
TRIP0087432,CUST02083,PROMO0026,Seasonal Promo,2025-04-14,16.43
TRIP0053093,CUST01255,PROMO0013,Senior Special,2025-10-16,11.08
TRIP0014707,CUST00351,PROMO0000,Christmas Bonus,2025-11-05,7.39
TRIP0030622,CUST00723,PROMO0007,Valentine's Special,2024-09-17,13.15
TRIP0095261,CUST02261,PROMO0013,Senior Special,2025-10-09,8.87
TRIP0113404,CUST02696,PROMO0011,Corporate Account,2023-09-17,20.84
TRIP0062235,CUST01483,PROMO0000,Christmas Bonus,2025-10-31,10.08
TRIP0039534,CUST00935,PROMO0029,Group Ride Deal,2025-10-02,2.1
TRIP0125808,CUST02979,PROMO0007,Valentine's Special,2025-09-01,15.22
TRIP0041839,CUST00985,PROMO0033,New User Welcome,2025-07-08,22.0
TRIP0050263,CUST01189,PROMO0018,Business Class,2025-04-02,2.55
TRIP0030427,CUST00719,PROMO0006,Refer & Earn,2023-10-26,10.67
TRIP0070019,CUST01669,PROMO0004,Black Friday,2024-12-20,3.69
TRIP0029370,CUST00696,PROMO0000,Christmas Bonus,2025-10-31,9.08
TRIP0105595,CUST02510,PROMO0031,Business Class,2025-08-16,7.6
TRIP0092838,CUST02207,PROMO0039,Airport Express,2024-05-01,12.51
TRIP0003508,CUST00086,PROMO0032,Refer & Earn,2025-08-24,10.06
TRIP0126646,CUST02998,PROMO0017,Christmas Bonus,2025-07-29,19.54
TRIP0090545,CUST02155,PROMO0013,Senior Special,2025-10-27,12.72
TRIP0029580,CUST00701,PROMO0002,Back to School,2024-06-14,3.38
TRIP0069590,CUST01658,PROMO0025,Birthday Bonus,2025-08-16,5.38
TRIP0004979,CUST00122,PROMO0005,Premium Pass,2025-08-31,15.53
TRIP0052328,CUST01237,PROMO0018,Business Class,2025-03-11,2.08
TRIP0094986,CUST02255,PROMO0022,Refer & Earn,2024-10-30,5.5
TRIP0031954,CUST00756,PROMO0027,Business Class,2025-11-30,9.77
TRIP0099796,CUST02371,PROMO0036,Late Night Saver,2025-12-13,13.47
TRIP0040885,CUST00964,PROMO0008,Business Class,2024-09-27,29.27
TRIP0058239,CUST01386,PROMO0033,New User Welcome,2024-02-11,10.5
TRIP0043931,CUST01037,PROMO0002,Back to School,2024-07-15,3.41
TRIP0042282,CUST00996,PROMO0008,Business Class,2025-09-09,26.79
TRIP0096101,CUST02282,PROMO0037,Premium Pass,2025-02-06,5.09
TRIP0003800,CUST00092,PROMO0002,Back to School,2025-06-13,2.92
TRIP0123019,CUST02912,PROMO0006,Refer & Earn,2025-07-05,8.61
TRIP0008232,CUST00196,PROMO0004,Black Friday,2025-01-07,4.25
TRIP0024673,CUST00585,PROMO0038,Black Friday,2024-08-05,6.21
TRIP0040959,CUST00965,PROMO0013,Senior Special,2025-10-13,7.56
TRIP0078106,CUST01863,PROMO0032,Refer & Earn,2023-04-26,13.75
TRIP0112690,CUST02680,PROMO0031,Business Class,2024-08-31,13.01
TRIP0041934,CUST00988,PROMO0003,Spring Break,2024-11-21,21.78
TRIP0033159,CUST00785,PROMO0000,Christmas Bonus,2025-10-28,8.1
TRIP0007787,CUST00186,PROMO0027,Business Class,2025-12-14,14.91
TRIP0077757,CUST01854,PROMO0010,Christmas Bonus,2024-03-09,16.66
TRIP0056747,CUST01349,PROMO0026,Seasonal Promo,2025-04-06,22.05
TRIP0085040,CUST02026,PROMO0037,Premium Pass,2025-03-18,6.02
TRIP0007656,CUST00184,PROMO0027,Business Class,2025-12-14,11.21
TRIP0126071,CUST02985,PROMO0021,Holiday Rush,2025-09-03,23.34
TRIP0014298,CUST00341,PROMO0012,Back to School,2025-04-24,10.9
TRIP0115240,CUST02738,PROMO0013,Senior Special,2025-10-19,7.86
TRIP0107680,CUST02561,PROMO0027,Business Class,2025-11-27,11.53
TRIP0046571,CUST01100,PROMO0039,Airport Express,2024-05-06,13.46
TRIP0102806,CUST02443,PROMO0016,Holiday Rush,2025-08-31,4.56
TRIP0005525,CUST00138,PROMO0030,VIP Membership,2024-03-17,9.91
TRIP0070221,CUST01673,PROMO0009,City Explorer,2024-09-23,21.08
TRIP0055095,CUST01310,PROMO0012,Back to School,2025-05-10,12.3
TRIP0125113,CUST02961,PROMO0009,City Explorer,2025-09-05,18.1
TRIP0041591,CUST00980,PROMO0035,Flash Sale,2023-09-10,22.2
TRIP0013128,CUST00313,PROMO0002,Back to School,2024-07-10,3.44
TRIP0070084,CUST01670,PROMO0012,Back to School,2024-10-02,11.32
TRIP0031610,CUST00747,PROMO0021,Holiday Rush,2025-09-24,11.78
TRIP0039920,CUST00944,PROMO0011,Corporate Account,2024-09-20,20.43
TRIP0107784,CUST02562,PROMO0022,Refer & Earn,2024-11-01,4.59
TRIP0115625,CUST02747,PROMO0026,Seasonal Promo,2025-08-17,17.02
TRIP0088614,CUST02108,PROMO0037,Premium Pass,2025-02-05,6.41
TRIP0047978,CUST01135,PROMO0037,Premium Pass,2024-12-07,3.83
TRIP0001370,CUST00033,PROMO0012,Back to School,2025-09-25,5.99
TRIP0122580,CUST02902,PROMO0014,Valentine's Special,2025-12-11,18.81
TRIP0006332,CUST00154,PROMO0003,Spring Break,2025-06-25,10.87
TRIP0053874,CUST01276,PROMO0027,Business Class,2025-12-01,10.44
TRIP0073488,CUST01751,PROMO0023,Student Discount,2023-04-08,12.3
TRIP0082463,CUST01965,PROMO0029,Group Ride Deal,2025-07-29,2.31
TRIP0002198,CUST00054,PROMO0004,Black Friday,2024-12-22,4.53
TRIP0070842,CUST01685,PROMO0027,Business Class,2025-06-08,14.34
TRIP0043702,CUST01031,PROMO0037,Premium Pass,2025-03-06,3.77
TRIP0075149,CUST01791,PROMO0022,Refer & Earn,2025-06-21,7.48
TRIP0016850,CUST00403,PROMO0037,Premium Pass,2025-02-23,3.96
TRIP0050226,CUST01189,PROMO0031,Business Class,2025-06-16,8.11
TRIP0077576,CUST01849,PROMO0004,Black Friday,2024-12-22,3.8
TRIP0102732,CUST02441,PROMO0001,Christmas Bonus,2023-09-14,21.19
TRIP0035403,CUST00839,PROMO0039,Airport Express,2024-05-09,14.11
TRIP0041499,CUST00977,PROMO0021,Holiday Rush,2025-03-04,16.9
TRIP0034663,CUST00821,PROMO0012,Back to School,2025-08-06,7.73
TRIP0064695,CUST01542,PROMO0021,Holiday Rush,2025-03-28,21.02
TRIP0009151,CUST00218,PROMO0004,Black Friday,2024-12-26,2.78
TRIP0124379,CUST02945,PROMO0026,Seasonal Promo,2025-09-10,12.91
TRIP0064644,CUST01541,PROMO0000,Christmas Bonus,2025-11-08,10.05
TRIP0090843,CUST02163,PROMO0031,Business Class,2024-08-28,8.92
TRIP0008608,CUST00204,PROMO0013,Senior Special,2025-10-05,13.46
TRIP0015721,CUST00374,PROMO0003,Spring Break,2024-09-27,21.92
TRIP0059141,CUST01406,PROMO0001,Christmas Bonus,2025-08-15,17.04
TRIP0014411,CUST00344,PROMO0024,Student Discount,2025-04-20,18.73
TRIP0076969,CUST01834,PROMO0014,Valentine's Special,2025-12-10,20.86
TRIP0046882,CUST01107,PROMO0025,Birthday Bonus,2025-01-20,6.89
TRIP0007707,CUST00185,PROMO0030,VIP Membership,2025-07-24,10.28
TRIP0024494,CUST00580,PROMO0021,Holiday Rush,2025-08-26,12.33
TRIP0042597,CUST01004,PROMO0035,Flash Sale,2025-06-22,23.49
TRIP0072601,CUST01731,PROMO0022,Refer & Earn,2024-10-12,8.3
TRIP0012742,CUST00303,PROMO0013,Senior Special,2025-10-16,10.55
TRIP0102035,CUST02424,PROMO0000,Christmas Bonus,2025-11-10,10.56
TRIP0025995,CUST00616,PROMO0013,Senior Special,2025-10-20,13.19
TRIP0119647,CUST02836,PROMO0002,Back to School,2024-06-30,1.92
TRIP0042397,CUST00999,PROMO0037,Premium Pass,2025-03-20,6.03
TRIP0083364,CUST01987,PROMO0033,New User Welcome,2025-09-18,12.22
TRIP0068590,CUST01635,PROMO0010,Christmas Bonus,2024-03-14,11.74
TRIP0111853,CUST02660,PROMO0029,Group Ride Deal,2025-09-15,2.74
TRIP0023293,CUST00549,PROMO0017,Christmas Bonus,2024-05-29,19.32
TRIP0020773,CUST00491,PROMO0038,Black Friday,2024-08-04,7.73
TRIP0060862,CUST01452,PROMO0002,Back to School,2024-09-25,3.44
TRIP0052777,CUST01248,PROMO0000,Christmas Bonus,2025-11-05,7.25
TRIP0043210,CUST01020,PROMO0018,Business Class,2025-03-28,3.77
TRIP0100049,CUST02376,PROMO0026,Seasonal Promo,2025-05-08,15.51
TRIP0079779,CUST01900,PROMO0000,Christmas Bonus,2025-11-10,9.89
TRIP0104200,CUST02475,PROMO0021,Holiday Rush,2024-12-15,21.0
TRIP0030022,CUST00710,PROMO0020,Halloween Treat,2024-09-29,3.61
TRIP0027191,CUST00643,PROMO0027,Business Class,2025-12-05,17.48
TRIP0095687,CUST02272,PROMO0013,Senior Special,2025-10-03,9.41
TRIP0119778,CUST02840,PROMO0030,VIP Membership,2025-07-20,10.72
TRIP0044576,CUST01053,PROMO0012,Back to School,2025-04-06,12.38
TRIP0070329,CUST01675,PROMO0000,Christmas Bonus,2025-11-04,8.58
TRIP0101662,CUST02415,PROMO0039,Airport Express,2025-06-19,15.82
TRIP0019496,CUST00458,PROMO0009,City Explorer,2024-12-03,26.3
TRIP0111884,CUST02660,PROMO0004,Black Friday,2025-06-13,3.39
TRIP0107526,CUST02558,PROMO0035,Flash Sale,2025-09-06,16.96
TRIP0023056,CUST00543,PROMO0037,Premium Pass,2025-08-11,5.35
TRIP0009887,CUST00235,PROMO0013,Senior Special,2025-10-07,9.37
TRIP0035762,CUST00846,PROMO0015,City Explorer,2025-04-13,21.16
TRIP0103219,CUST02452,PROMO0034,Refer & Earn,2025-08-13,6.93
TRIP0009381,CUST00223,PROMO0025,Birthday Bonus,2025-02-12,8.4
TRIP0039771,CUST00941,PROMO0034,Refer & Earn,2023-08-18,5.79
TRIP0059502,CUST01418,PROMO0016,Holiday Rush,2025-07-26,4.4
TRIP0109637,CUST02608,PROMO0024,Student Discount,2025-05-03,30.48
TRIP0122734,CUST02905,PROMO0006,Refer & Earn,2025-07-02,12.32
TRIP0033358,CUST00788,PROMO0018,Business Class,2025-03-26,3.54
TRIP0043406,CUST01024,PROMO0025,Birthday Bonus,2025-02-09,8.9
TRIP0003900,CUST00095,PROMO0024,Student Discount,2025-06-25,29.41
TRIP0008694,CUST00207,PROMO0014,Valentine's Special,2025-12-11,16.23
TRIP0025524,CUST00604,PROMO0039,Airport Express,2024-05-08,16.02
TRIP0017095,CUST00407,PROMO0025,Birthday Bonus,2025-02-12,5.17
TRIP0120741,CUST02860,PROMO0025,Birthday Bonus,2025-09-27,6.13
TRIP0018156,CUST00429,PROMO0006,Refer & Earn,2023-11-08,11.94
TRIP0095606,CUST02270,PROMO0002,Back to School,2024-07-02,3.16
TRIP0041167,CUST00971,PROMO0023,Student Discount,2023-11-20,10.4
TRIP0112228,CUST02669,PROMO0000,Christmas Bonus,2025-11-28,7.14
TRIP0046843,CUST01106,PROMO0000,Christmas Bonus,2025-11-05,11.19
TRIP0060362,CUST01440,PROMO0024,Student Discount,2025-09-13,19.44
TRIP0038022,CUST00895,PROMO0000,Christmas Bonus,2025-11-09,7.33
TRIP0055262,CUST01315,PROMO0037,Premium Pass,2025-03-18,5.46
TRIP0088802,CUST02113,PROMO0033,New User Welcome,2024-01-22,17.17
TRIP0039662,CUST00939,PROMO0034,Refer & Earn,2025-09-14,5.32
TRIP0031334,CUST00742,PROMO0000,Christmas Bonus,2025-11-11,6.16
TRIP0016148,CUST00387,PROMO0013,Senior Special,2023-10-03,13.2
TRIP0068080,CUST01624,PROMO0019,Back to School,2025-08-02,16.46
TRIP0121713,CUST02880,PROMO0004,Black Friday,2025-01-06,3.78
TRIP0102768,CUST02442,PROMO0000,Christmas Bonus,2025-11-17,12.91
TRIP0058111,CUST01382,PROMO0020,Halloween Treat,2024-10-27,3.31
TRIP0037972,CUST00895,PROMO0018,Business Class,2025-03-23,3.29
TRIP0086384,CUST02057,PROMO0000,Christmas Bonus,2025-11-02,6.69
TRIP0003115,CUST00075,PROMO0002,Back to School,2024-06-30,2.26
TRIP0070508,CUST01679,PROMO0013,Senior Special,2025-10-15,6.9
TRIP0068996,CUST01644,PROMO0026,Seasonal Promo,2025-06-18,22.19
TRIP0061331,CUST01463,PROMO0037,Premium Pass,2024-11-13,3.86
TRIP0101793,CUST02418,PROMO0014,Valentine's Special,2025-07-21,9.84
TRIP0064481,CUST01538,PROMO0000,Christmas Bonus,2025-11-19,11.53
TRIP0068274,CUST01628,PROMO0022,Refer & Earn,2024-11-04,8.36
TRIP0125220,CUST02964,PROMO0022,Refer & Earn,2024-11-06,5.77
TRIP0091837,CUST02184,PROMO0023,Student Discount,2023-04-08,11.77
TRIP0108050,CUST02569,PROMO0017,Christmas Bonus,2024-05-25,13.13
TRIP0025211,CUST00599,PROMO0000,Christmas Bonus,2025-11-23,11.91
TRIP0113894,CUST02707,PROMO0023,Student Discount,2025-06-28,11.88
TRIP0032737,CUST00774,PROMO0000,Christmas Bonus,2025-10-31,11.07
TRIP0030105,CUST00711,PROMO0022,Refer & Earn,2024-10-13,4.79
TRIP0124184,CUST02941,PROMO0030,VIP Membership,2025-06-19,12.58
TRIP0030131,CUST00712,PROMO0011,Corporate Account,2025-07-30,19.52
TRIP0106742,CUST02540,PROMO0001,Christmas Bonus,2023-12-20,25.04
TRIP0011198,CUST00265,PROMO0004,Black Friday,2025-01-04,2.84
TRIP0079467,CUST01891,PROMO0034,Refer & Earn,2024-04-01,8.14
TRIP0097894,CUST02323,PROMO0037,Premium Pass,2025-07-02,4.06
TRIP0062289,CUST01484,PROMO0004,Black Friday,2024-12-21,5.1
TRIP0070597,CUST01680,PROMO0026,Seasonal Promo,2025-05-13,23.26
TRIP0083226,CUST01982,PROMO0039,Airport Express,2024-05-01,11.52
TRIP0071051,CUST01691,PROMO0023,Student Discount,2024-04-06,12.75
TRIP0061306,CUST01462,PROMO0033,New User Welcome,2025-09-05,17.61
TRIP0105618,CUST02511,PROMO0001,Christmas Bonus,2024-04-10,18.1
TRIP0100703,CUST02391,PROMO0020,Halloween Treat,2025-08-04,2.53
TRIP0022965,CUST00540,PROMO0033,New User Welcome,2025-09-08,22.31
TRIP0036591,CUST00866,PROMO0021,Holiday Rush,2025-02-25,23.89
TRIP0003816,CUST00093,PROMO0029,Group Ride Deal,2025-06-16,1.87
TRIP0100888,CUST02394,PROMO0025,Birthday Bonus,2025-02-15,8.0
TRIP0103049,CUST02448,PROMO0013,Senior Special,2025-10-05,6.78
TRIP0045511,CUST01075,PROMO0003,Spring Break,2025-08-17,16.79
TRIP0058471,CUST01392,PROMO0025,Birthday Bonus,2025-01-17,4.55
TRIP0059567,CUST01419,PROMO0002,Back to School,2024-07-01,3.42
TRIP0008414,CUST00200,PROMO0000,Christmas Bonus,2025-11-09,8.48
TRIP0084685,CUST02018,PROMO0005,Premium Pass,2025-06-30,21.97
TRIP0022921,CUST00539,PROMO0020,Halloween Treat,2024-10-22,1.75
TRIP0048289,CUST01141,PROMO0033,New User Welcome,2025-08-20,17.28
TRIP0064899,CUST01547,PROMO0013,Senior Special,2025-10-03,8.9
TRIP0066374,CUST01585,PROMO0033,New User Welcome,2024-01-25,19.55
TRIP0030769,CUST00726,PROMO0029,Group Ride Deal,2025-08-17,2.14
TRIP0055770,CUST01327,PROMO0012,Back to School,2025-05-09,10.79
TRIP0077853,CUST01856,PROMO0021,Holiday Rush,2025-03-05,12.35
TRIP0082761,CUST01972,PROMO0000,Christmas Bonus,2025-11-08,7.08
TRIP0019500,CUST00458,PROMO0012,Back to School,2025-05-31,7.87
TRIP0031733,CUST00751,PROMO0013,Senior Special,2024-12-10,8.08
TRIP0057717,CUST01371,PROMO0010,Christmas Bonus,2024-03-14,12.56
TRIP0065833,CUST01573,PROMO0007,Valentine's Special,2025-03-26,23.8
TRIP0017162,CUST00408,PROMO0000,Christmas Bonus,2025-12-09,9.38
TRIP0069285,CUST01652,PROMO0013,Senior Special,2025-10-12,9.8
TRIP0027008,CUST00639,PROMO0024,Student Discount,2025-04-18,17.99
TRIP0112813,CUST02683,PROMO0027,Business Class,2025-12-06,11.41
TRIP0116255,CUST02762,PROMO0021,Holiday Rush,2025-07-07,14.82
TRIP0020194,CUST00475,PROMO0010,Christmas Bonus,2024-02-19,10.0
TRIP0034864,CUST00827,PROMO0014,Valentine's Special,2023-05-30,16.34
TRIP0040717,CUST00959,PROMO0000,Christmas Bonus,2025-07-23,11.83
TRIP0105035,CUST02497,PROMO0009,City Explorer,2025-09-12,16.66
TRIP0046755,CUST01104,PROMO0004,Black Friday,2025-01-20,3.87
TRIP0008074,CUST00192,PROMO0017,Christmas Bonus,2025-08-23,17.33
TRIP0058916,CUST01402,PROMO0014,Valentine's Special,2025-12-03,17.53
TRIP0088486,CUST02105,PROMO0031,Business Class,2024-08-31,11.58
TRIP0087994,CUST02095,PROMO0007,Valentine's Special,2025-03-30,20.32
TRIP0043569,CUST01028,PROMO0000,Christmas Bonus,2025-11-07,11.72
TRIP0103296,CUST02454,PROMO0033,New User Welcome,2024-02-07,17.64
TRIP0035786,CUST00847,PROMO0025,Birthday Bonus,2025-09-25,6.49
TRIP0102185,CUST02427,PROMO0013,Senior Special,2024-04-21,13.76
TRIP0013803,CUST00330,PROMO0035,Flash Sale,2024-08-02,15.17
TRIP0051253,CUST01214,PROMO0024,Student Discount,2025-04-25,29.03
TRIP0041109,CUST00969,PROMO0007,Valentine's Special,2024-11-17,23.43
TRIP0011816,CUST00278,PROMO0004,Black Friday,2024-05-19,4.97
TRIP0030484,CUST00721,PROMO0018,Business Class,2024-11-09,2.07
TRIP0051440,CUST01217,PROMO0005,Premium Pass,2024-06-24,14.57
TRIP0116186,CUST02761,PROMO0027,Business Class,2025-11-25,11.99
TRIP0025400,CUST00601,PROMO0000,Christmas Bonus,2024-11-12,6.51
TRIP0022830,CUST00538,PROMO0013,Senior Special,2025-10-16,8.62
TRIP0049285,CUST01166,PROMO0027,Business Class,2025-11-27,8.93
TRIP0028022,CUST00664,PROMO0008,Business Class,2025-09-18,25.04
TRIP0112721,CUST02681,PROMO0004,Black Friday,2025-01-10,3.61
