trip_id,customer_id,driver_id,city,pickup_area,dropoff_area,trip_datetime,trip_status,distance_km,duration_min,fare_amount,platform_revenue,driver_payout,promo_used,surge_multiplier
TRIP0000042,CUST00000,DRV2513,London,Brixton,Hammersmith,2024-07-17 17:28:00,completed,12.58,40.0,8.04,2.01,6.03,0,1.0
TRIP0000043,CUST00000,DRV4426,London,Kensington,Hackney,2025-11-18 19:10:00,completed,1.84,27.3,9.87,2.47,7.4,0,1.0
TRIP0000044,CUST00000,DRV9281,London,Kensington,Shoreditch,2025-05-03 20:27:00,completed,7.86,39.8,17.03,4.26,12.77,0,1.5
TRIP0000045,CUST00000,DRV9160,London,Kensington,Brixton,2025-08-11 18:54:00,completed,5.72,40.2,26.82,6.7,20.12,0,1.0
TRIP0000046,CUST00000,DRV3680,London,Camden,Richmond,2024-06-15 20:12:00,cancelled,8.75,6.8,3.372,0.84,2.53,0,1.0
TRIP0000047,CUST00000,DRV6594,London,Richmond,Hackney,2024-05-22 14:50:00,completed,10.58,6.9,7.66,1.92,5.74,0,1.2
TRIP0000048,CUST00000,DRV8421,London,Canary Wharf,Richmond,2024-09-25 23:29:00,completed,10.9,40.4,14.76,3.69,11.07,0,1.0
TRIP0000049,CUST00000,DRV6307,London,Hammersmith,Hackney,2024-09-09 20:25:00,cancelled,9.15,14.4,2.7,0.68,2.02,0,1.0
TRIP0000050,CUST00000,DRV1055,London,Canary Wharf,Kensington,2025-06-17 11:29:00,completed,11.9,,17.15,4.29,12.86,1,1.0
TRIP0000051,CUST00000,DRV1764,London,Kensington,Westminster,2024-08-19 08:41:00,completed,6.72,22.3,31.76,7.94,23.82,0,1.2
TRIP0000052,CUST00000,DRV9798,London,Shoreditch,Richmond,2025-04-27 08:59:00,completed,11.73,43.6,26.78,6.7,20.08,0,1.0
TRIP0000053,CUST00000,DRV9505,London,Westminster,Hackney,2024-06-30 11:20:00,completed,11.65,44.0,9.95,2.49,7.46,0,1.2
TRIP0000054,CUST00000,DRV3490,London,Westminster,Camden,2024-06-12 13:58:00,completed,4.63,7.7,18.45,4.61,13.84,0,1.0
TRIP0000055,CUST00000,DRV6065,London,Shoreditch,Canary Wharf,2025-09-04 17:04:00,completed,5.66,21.8,10.35,2.59,7.76,0,1.0
TRIP0000056,CUST00000,DRV4192,London,Brixton,Richmond,2024-11-03 18:42:00,completed,1.6,31.1,24.72,6.18,18.54,0,1.5
TRIP0000057,CUST00000,DRV5933,London,Hackney,Westminster,2024-08-27 17:38:00,completed,6.41,27.6,40.1,10.02,30.08,0,1.5
TRIP0000058,CUST00000,DRV4565,London,Hammersmith,Camden,2024-12-15 09:49:00,completed,2.69,32.4,29.8,7.45,22.35,0,1.2
TRIP0000059,CUST00000,DRV3694,London,Richmond,Camden,2025-06-08 17:31:00,completed,1.55,42.3,26.01,6.5,19.51,0,1.0
TRIP0000060,CUST00000,DRV7194,London,Canary Wharf,Camden,2024-06-01 05:12:00,completed,8.58,35.6,27.87,6.97,20.9,0,1.0
TRIP0000061,CUST00000,DRV7402,London,Brixton,Shoreditch,2025-04-16 23:33:00,completed,1.91,42.5,22.94,5.74,17.2,1,1.0
TRIP0000062,CUST00000,DRV8940,London,Westminster,Canary Wharf,2024-10-24 06:36:00,completed,6.97,22.1,21.16,5.29,15.87,1,1.0
TRIP0000063,CUST00000,DRV7119,London,Brixton,Shoreditch,2025-01-04 23:46:00,completed,10.65,39.4,20.2,5.05,15.15,0,1.0
TRIP0000064,CUST00001,DRV4844,London,Brixton,Canary Wharf,2025-06-22 22:58:00,completed,2.73,41.1,13.15,3.29,9.86,0,1.0
TRIP0000065,CUST00001,DRV8253,London,Shoreditch,Canary Wharf,2024-02-29 18:40:00,completed,4.36,33.6,24.1,6.02,18.08,0,1.0
TRIP0000066,CUST00001,DRV9555,London,Hammersmith,Canary Wharf,2024-05-20 19:57:00,completed,7.01,29.2,10.07,2.52,7.55,0,1.2
TRIP0000067,CUST00001,DRV5707,London,Hammersmith,Shoreditch,2025-06-09 12:00:00,completed,9.07,32.6,10.41,2.6,7.81,0,1.0
TRIP0000068,CUST00001,DRV6800,London,Greenwich,Canary Wharf,2024-10-07 08:50:00,completed,1.62,44.8,13.45,3.36,10.09,0,1.0
TRIP0000069,CUST00001,DRV7993,London,Shoreditch,Kensington,2024-05-18 13:27:00,completed,10.44,,7.92,1.98,5.94,0,1.0
TRIP0000070,CUST00001,DRV8692,London,Richmond,Brixton,2023-12-29 17:02:00,completed,9.18,18.5,12.14,3.04,9.1,1,1.2
TRIP0000071,CUST00001,DRV8522,London,Camden,Westminster,2024-11-10 19:35:00,completed,3.06,13.5,26.59,6.65,19.94,0,1.2
TRIP0000072,CUST00001,DRV9156,London,Richmond,Shoreditch,2023-11-16 19:24:00,completed,10.7,23.6,9.88,2.47,7.41,0,1.0
TRIP0000073,CUST00001,DRV3595,London,Camden,Hammersmith,2025-12-15 03:51:00,completed,1.21,17.8,30.34,7.58,22.76,0,1.5
TRIP0000074,CUST00001,DRV1231,London,Hackney,Westminster,2024-04-22 10:06:00,completed,3.83,41.3,28.66,7.16,21.5,0,1.2
TRIP0000075,CUST00001,DRV2634,London,Camden,Canary Wharf,2025-02-15 12:25:00,completed,5.08,30.4,20.44,5.11,15.33,0,1.0
TRIP0000076,CUST00001,DRV3996,London,Richmond,Canary Wharf,2024-09-27 12:57:00,completed,8.54,,12.46,3.12,9.34,0,1.0
TRIP0000077,CUST00001,DRV8122,London,Camden,Richmond,2025-09-23 13:42:00,completed,9.75,14.7,11.36,2.84,8.52,0,1.0
TRIP0000078,CUST00001,DRV5231,London,Kensington,Hammersmith,2025-09-24 19:55:00,completed,11.87,14.4,30.53,7.63,22.9,1,1.2
TRIP0000079,CUST00001,DRV6313,London,Hackney,Richmond,2025-12-07 08:12:00,completed,8.64,34.9,6.14,1.54,4.6,1,1.0
TRIP0000080,CUST00001,DRV4437,London,Kensington,Shoreditch,2024-12-27 11:09:00,cancelled,7.52,20.3,6.07,1.52,4.55,0,1.5
TRIP0000081,CUST00001,DRV9328,London,Shoreditch,Canary Wharf,2024-05-09 11:10:00,completed,7.27,19.4,26.52,6.63,19.89,0,1.2
TRIP0000082,CUST00001,DRV3522,London,Camden,Brixton,2023-10-18 19:16:00,completed,1.11,43.4,18.37,4.59,13.78,0,1.0
TRIP0000083,CUST00001,DRV4016,London,Richmond,Shoreditch,2024-09-19 11:45:00,completed,11.12,19.4,27.63,6.91,20.72,0,1.0
TRIP0000084,CUST00001,DRV7177,London,Brixton,Greenwich,2024-03-31 12:03:00,completed,8.85,15.2,24.87,6.22,18.65,0,1.0
TRIP0000085,CUST00001,DRV7088,London,Hammersmith,Brixton,2024-04-05 12:13:00,completed,6.04,8.5,7.25,1.81,5.44,0,1.0
TRIP0000086,CUST00001,DRV8844,London,Westminster,Greenwich,2025-08-02 22:15:00,completed,1.88,29.0,9.4,2.35,7.05,0,1.0
TRIP0000087,CUST00001,DRV1908,London,Camden,Shoreditch,2024-06-07 03:34:00,completed,9.07,18.8,20.83,5.21,15.62,0,1.2
TRIP0000088,CUST00001,DRV2712,London,Hackney,Richmond,2024-07-05 08:17:00,completed,5.96,24.3,11.53,2.88,8.65,0,1.0
TRIP0000089,CUST00001,DRV6165,London,Westminster,Richmond,2024-05-29 17:42:00,completed,10.55,22.2,27.43,6.86,20.57,1,1.0
TRIP0000090,CUST00001,DRV2999,London,Richmond,Kensington,2024-05-22 08:49:00,completed,6.95,41.0,30.41,7.6,22.81,0,1.2
TRIP0000091,CUST00001,DRV1222,London,Richmond,Brixton,2025-07-30 17:09:00,completed,5.83,43.7,20.34,5.08,15.26,0,1.0
TRIP0000092,CUST00001,DRV7313,London,Camden,Kensington,2025-08-06 09:49:00,completed,3.94,33.6,22.03,5.51,16.52,0,1.0
TRIP0000093,CUST00001,DRV5699,London,Hackney,Westminster,2024-03-27 13:32:00,completed,8.16,16.6,21.03,5.26,15.77,0,1.0
TRIP0000094,CUST00001,DRV8758,London,Hackney,Canary Wharf,2025-08-10 18:36:00,completed,9.35,33.2,23.73,5.93,17.8,0,1.0
TRIP0000095,CUST00001,DRV6141,London,Brixton,Greenwich,2025-08-03 08:04:00,completed,9.31,8.7,14.64,3.66,10.98,0,1.0
TRIP0000096,CUST00001,DRV6923,London,Kensington,Richmond,2025-10-18 12:02:00,cancelled,11.16,11.3,5.804,1.45,4.35,1,1.2
TRIP0000097,CUST00001,DRV3855,London,Kensington,Camden,2024-08-22 18:51:00,completed,10.04,14.8,23.27,5.82,17.45,1,1.0
TRIP0000098,CUST00001,DRV8014,London,Camden,Hackney,2025-07-03 18:05:00,completed,3.69,7.7,8.34,2.08,6.26,0,1.2
TRIP0000099,CUST00001,DRV6606,London,Kensington,Camden,2025-10-07 11:04:00,completed,7.81,16.4,9.72,2.43,7.29,0,1.0
TRIP0000100,CUST00001,DRV2496,London,Hackney,Kensington,2024-09-02 10:01:00,completed,6.09,26.7,23.94,5.98,17.96,0,1.0
TRIP0000101,CUST00001,DRV6259,London,Hackney,Canary Wharf,2025-05-13 12:37:00,completed,8.77,43.7,23.38,5.84,17.54,0,1.0
TRIP0000102,CUST00001,DRV4028,London,Richmond,Greenwich,2025-01-04 08:22:00,completed,5.74,17.7,27.71,6.93,20.78,0,1.0
TRIP0000103,CUST00001,DRV3246,London,Greenwich,Westminster,2023-12-01 09:51:00,completed,11.64,17.1,15.52,3.88,11.64,0,1.0
TRIP0000104,CUST00001,DRV3593,London,Kensington,Shoreditch,2023-10-19 11:27:00,completed,8.11,19.0,19.47,4.87,14.6,0,1.0
TRIP0000105,CUST00001,DRV9128,London,Westminster,Shoreditch,2025-08-13 17:39:00,completed,6.88,39.9,10.27,2.57,7.7,0,1.2
TRIP0000106,CUST00001,DRV6037,London,Shoreditch,Camden,2024-01-07 07:09:00,completed,3.13,,19.89,4.97,14.92,0,1.2
TRIP0000107,CUST00001,DRV8045,London,Canary Wharf,Kensington,2023-12-15 13:48:00,completed,9.16,9.3,17.99,4.5,13.49,0,1.0
TRIP0000108,CUST00001,DRV8436,London,Hackney,Richmond,2025-06-27 08:34:00,cancelled,5.91,31.5,4.5,1.12,3.38,0,1.0
TRIP0000109,CUST00001,DRV4532,London,Westminster,Hammersmith,2024-11-19 02:30:00,completed,6.41,35.3,14.42,3.6,10.82,0,1.0
TRIP0000110,CUST00001,DRV8927,London,Shoreditch,Greenwich,2023-12-15 05:31:00,completed,6.89,8.7,20.33,5.08,15.25,1,1.0
TRIP0000111,CUST00001,DRV8173,London,Camden,Canary Wharf,2024-05-24 22:08:00,completed,,30.6,14.43,3.61,10.82,1,1.0
TRIP0000112,CUST00001,DRV6556,London,Hackney,Westminster,2025-07-29 19:29:00,completed,9.96,25.4,23.94,5.98,17.96,0,1.0
TRIP0000113,CUST00001,DRV8784,London,Hammersmith,Richmond,2025-09-12 23:34:00,cancelled,4.59,18.0,5.198,1.3,3.9,0,1.0
TRIP0000114,CUST00001,DRV4886,London,Richmond,Hackney,2025-07-26 23:22:00,completed,9.77,39.0,25.71,6.43,19.28,0,1.0
TRIP0000115,CUST00001,DRV2888,London,Canary Wharf,Brixton,2025-07-14 18:12:00,completed,10.81,,17.11,4.28,12.83,0,1.0
TRIP0000116,CUST00002,DRV6058,London,Camden,Greenwich,2025-11-26 11:21:00,completed,5.56,37.2,9.58,2.4,7.18,0,1.0
TRIP0000117,CUST00002,DRV6486,London,Westminster,Hammersmith,2025-04-28 08:43:00,completed,8.52,30.7,15.61,3.9,11.71,0,1.0
TRIP0000118,CUST00002,DRV1748,London,Canary Wharf,Camden,2025-04-25 22:09:00,completed,3.58,27.1,14.87,3.72,11.15,0,1.0
TRIP0000119,CUST00002,DRV1385,London,Camden,Shoreditch,2025-04-13 11:22:00,completed,7.31,,27.97,6.99,20.98,0,1.0
TRIP0000120,CUST00002,DRV5633,London,Greenwich,Hackney,2025-07-19 10:17:00,completed,1.59,43.0,18.6,4.65,13.95,0,1.0
TRIP0000121,CUST00002,DRV1112,London,Greenwich,Kensington,2025-11-06 14:30:00,completed,7.89,24.7,23.92,5.98,17.94,1,1.0
TRIP0000122,CUST00002,DRV8606,London,Westminster,Canary Wharf,2025-02-16 17:26:00,completed,6.87,8.8,18.47,4.62,13.85,0,1.0
TRIP0000123,CUST00002,DRV8131,London,Kensington,Brixton,2025-08-12 11:34:00,completed,10.87,30.9,20.79,5.2,15.59,0,1.2
TRIP0000124,CUST00002,DRV8337,London,Hackney,Kensington,2025-10-03 22:36:00,completed,12.37,,24.6,6.15,18.45,0,1.0
TRIP0000125,CUST00002,DRV2458,London,Greenwich,Kensington,2025-11-21 12:56:00,completed,12.29,,13.16,3.29,9.87,0,1.0
TRIP0000126,CUST00002,DRV6694,London,Canary Wharf,Greenwich,2025-08-24 02:56:00,completed,10.05,10.8,18.43,4.61,13.82,0,1.0
TRIP0000127,CUST00002,DRV6416,London,Westminster,Brixton,2025-08-28 17:54:00,completed,11.81,,20.15,5.04,15.11,0,1.0
TRIP0000128,CUST00002,DRV6783,London,Westminster,Greenwich,2025-02-07 19:15:00,completed,8.37,21.9,18.92,4.73,14.19,1,1.0
TRIP0000129,CUST00002,DRV1616,London,Canary Wharf,Richmond,2025-07-02 21:12:00,completed,,8.4,13.52,3.38,10.14,0,1.0
TRIP0000130,CUST00002,DRV7989,London,Hackney,Kensington,2025-11-19 17:36:00,cancelled,7.54,24.7,2.384,0.6,1.78,0,1.0
TRIP0000131,CUST00002,DRV2295,London,Shoreditch,Richmond,2025-12-03 19:28:00,completed,8.97,32.3,15.56,3.89,11.67,0,1.2
TRIP0000132,CUST00002,DRV7228,London,Hammersmith,Brixton,2025-03-19 05:08:00,completed,2.78,28.1,20.67,5.17,15.5,1,1.0
TRIP0000133,CUST00002,DRV7077,London,Brixton,Canary Wharf,2025-05-16 17:03:00,completed,6.77,34.7,9.21,2.3,6.91,1,1.2
TRIP0000134,CUST00002,DRV7029,London,Greenwich,Westminster,2025-11-21 21:11:00,completed,4.15,14.3,20.22,5.06,15.16,1,1.2
TRIP0000135,CUST00002,DRV3639,London,Camden,Canary Wharf,2025-07-20 17:33:00,completed,10.15,34.4,15.71,3.93,11.78,0,1.0
TRIP0000136,CUST00002,DRV5910,London,Hackney,Canary Wharf,2025-09-15 16:27:00,completed,7.94,7.1,6.71,1.68,5.03,0,1.0
TRIP0000137,CUST00002,DRV5751,London,Camden,Hackney,2025-05-22 15:39:00,completed,7.55,38.3,24.05,6.01,18.04,1,1.2
TRIP0000138,CUST00002,DRV6495,London,Hammersmith,Richmond,2025-10-17 21:53:00,completed,3.62,26.0,20.85,5.21,15.64,0,1.2
TRIP0000139,CUST00002,DRV5615,London,Hackney,Brixton,2025-12-01 19:59:00,completed,8.34,12.7,10.13,2.53,7.6,0,1.2
TRIP0000140,CUST00002,DRV6413,London,Hackney,Canary Wharf,2025-08-21 21:19:00,completed,7.23,25.2,21.0,5.25,15.75,0,1.0
TRIP0000141,CUST00002,DRV5217,London,Kensington,Canary Wharf,2025-06-05 19:19:00,completed,3.59,26.1,26.29,6.57,19.72,0,1.0
TRIP0000142,CUST00002,DRV5007,London,Kensington,Camden,2025-02-28 21:25:00,completed,8.78,34.0,22.71,5.68,17.03,1,1.0
TRIP0000143,CUST00002,DRV8387,London,Canary Wharf,Brixton,2025-11-29 12:17:00,completed,4.77,20.5,14.46,3.62,10.84,1,1.0
TRIP0000144,CUST00002,DRV7716,London,Canary Wharf,Brixton,2025-06-16 17:56:00,completed,5.35,29.5,7.62,1.9,5.72,0,1.0
TRIP0000145,CUST00002,DRV3807,London,Westminster,Hammersmith,2025-06-06 22:48:00,completed,9.47,18.4,27.02,6.76,20.26,0,1.0
TRIP0000146,CUST00002,DRV6377,London,Canary Wharf,Westminster,2025-04-06 21:37:00,completed,7.49,33.0,9.16,2.29,6.87,0,1.0
TRIP0000147,CUST00002,DRV8815,London,Hackney,Shoreditch,2025-10-05 13:38:00,completed,12.4,33.9,28.1,7.02,21.08,1,1.2
TRIP0000148,CUST00002,DRV9558,London,Hammersmith,Richmond,2025-05-13 11:41:00,completed,8.02,5.5,21.0,5.25,15.75,1,1.0
TRIP0000149,CUST00002,DRV3583,London,Kensington,Camden,2025-11-16 08:15:00,completed,7.33,13.2,7.37,1.84,5.53,0,1.0
TRIP0000150,CUST00002,DRV2002,London,Westminster,Richmond,2025-03-16 03:08:00,completed,2.28,27.0,17.24,4.31,12.93,0,1.0
TRIP0000151,CUST00002,DRV1710,London,Camden,Richmond,2025-04-20 18:48:00,completed,2.57,28.7,6.64,1.66,4.98,0,1.0
TRIP0000152,CUST00002,DRV9496,London,Brixton,Kensington,2025-09-24 20:57:00,completed,10.9,34.8,8.18,2.04,6.14,1,1.2
TRIP0000153,CUST00002,DRV7763,London,Canary Wharf,Brixton,2025-07-19 10:40:00,completed,5.51,40.9,25.12,6.28,18.84,0,1.2
TRIP0000154,CUST00002,DRV3161,London,Brixton,Richmond,2025-07-30 23:51:00,completed,9.25,,32.06,8.02,24.04,0,1.5
TRIP0000155,CUST00002,DRV1703,London,Westminster,Kensington,2025-03-27 09:00:00,completed,6.18,20.2,12.26,3.06,9.2,0,1.0
TRIP0000156,CUST00002,DRV5987,London,Kensington,Greenwich,2025-06-25 18:54:00,completed,9.04,41.0,23.89,5.97,17.92,0,1.0
TRIP0000157,CUST00002,DRV4660,London,Camden,Canary Wharf,2025-08-05 06:46:00,completed,6.19,14.1,24.77,6.19,18.58,0,1.0
TRIP0000158,CUST00002,DRV6828,London,Westminster,Camden,2025-11-08 17:09:00,completed,7.47,22.1,20.51,5.13,15.38,0,1.2
TRIP0000159,CUST00002,DRV8560,London,Shoreditch,Camden,2025-03-17 17:13:00,cancelled,7.27,5.3,3.664,0.92,2.74,0,1.0
TRIP0000160,CUST00002,DRV7416,London,Hackney,Brixton,2025-07-11 11:33:00,completed,12.22,39.5,21.49,5.37,16.12,0,1.0
TRIP0000161,CUST00002,DRV8722,London,Brixton,Hackney,2025-04-29 18:40:00,completed,12.6,19.5,9.46,2.37,7.09,0,1.0
TRIP0000162,CUST00002,DRV2292,London,Richmond,Hackney,2025-01-23 18:51:00,completed,12.3,13.0,25.75,6.44,19.31,1,1.0
TRIP0000163,CUST00003,DRV6906,Barcelona,Gràcia,Sarrià,2025-06-20 22:45:00,completed,10.87,31.5,10.83,2.71,8.12,0,1.0
TRIP0000164,CUST00003,DRV6361,Barcelona,Poblenou,Sants,2025-12-08 21:16:00,completed,3.0,15.7,14.28,3.57,10.71,0,1.0
TRIP0000165,CUST00003,DRV2187,Barcelona,Horta,Sants,2025-09-20 08:05:00,completed,1.48,11.7,15.14,3.78,11.36,0,1.0
TRIP0000166,CUST00003,DRV1787,Barcelona,Sant Martí,Nou Barris,2025-06-23 15:23:00,completed,9.75,6.4,7.46,1.86,5.6,1,1.0
TRIP0000167,CUST00003,DRV7674,Barcelona,Poblenou,Ciutat Vella,2025-06-13 20:12:00,completed,12.27,8.2,10.71,2.68,8.03,0,1.0
TRIP0000168,CUST00003,DRV5074,Barcelona,Ciutat Vella,Eixample,2025-05-20 22:54:00,completed,12.74,23.8,17.42,4.36,13.06,0,1.0
TRIP0000169,CUST00003,DRV4000,Barcelona,Poblenou,Sant Martí,2025-06-08 17:18:00,completed,10.19,34.6,8.2,2.05,6.15,1,1.2
TRIP0000170,CUST00003,DRV2765,Barcelona,Horta,Sants,2025-07-14 08:41:00,completed,9.93,,15.58,3.9,11.68,0,1.0
TRIP0000171,CUST00003,DRV8385,Barcelona,Poblenou,Sants,2025-03-10 08:42:00,completed,8.79,14.8,15.23,3.81,11.42,1,1.0
TRIP0000172,CUST00003,DRV9851,Barcelona,Sant Martí,Horta,2025-09-29 11:50:00,cancelled,12.45,39.0,1.078,0.27,0.81,0,1.0
TRIP0000173,CUST00003,DRV6141,Barcelona,Eixample,Nou Barris,2025-03-15 21:50:00,completed,12.61,7.8,4.11,1.03,3.08,0,1.0
TRIP0000174,CUST00003,DRV1821,Barcelona,Nou Barris,Poblenou,2025-05-12 10:24:00,completed,7.43,31.4,11.68,2.92,8.76,0,1.0
TRIP0000175,CUST00003,DRV5686,Barcelona,Gràcia,Sant Martí,2025-05-18 21:28:00,completed,6.39,40.8,7.1,1.78,5.32,0,1.2
TRIP0000176,CUST00003,DRV1615,Barcelona,Les Corts,Poblenou,2025-04-02 18:12:00,completed,,36.9,10.14,2.54,7.6,1,1.0
TRIP0000177,CUST00003,DRV3542,Barcelona,Sants,Horta,2025-08-02 10:03:00,completed,2.12,33.3,5.62,1.4,4.22,1,1.0
TRIP0000178,CUST00003,DRV3676,Barcelona,Sant Martí,Sarrià,2025-06-25 02:03:00,completed,10.47,17.7,8.0,2.0,6.0,0,1.0
TRIP0000179,CUST00003,DRV7403,Barcelona,Sant Martí,Poblenou,2025-05-22 16:27:00,completed,6.34,18.6,15.24,3.81,11.43,0,1.0
TRIP0000180,CUST00003,DRV6517,Barcelona,Ciutat Vella,Sant Martí,2025-08-21 07:48:00,completed,12.73,28.5,12.92,3.23,9.69,0,1.2
TRIP0000181,CUST00003,DRV9524,Barcelona,Sants,Poblenou,2025-05-21 06:08:00,completed,7.88,27.8,11.32,2.83,8.49,0,1.0
TRIP0000182,CUST00003,DRV3233,Barcelona,Nou Barris,Sants,2025-05-18 06:00:00,cancelled,3.45,6.2,2.274,0.57,1.7,0,1.0
