age,gender,cancelled_trips,days_since_last_trip,churned,signup_channel,income_level,total_cancelled_trips,net_platform_revenue,avg_duration_min,promo_used_avg,total_promo_cost,avg_discount_value,avg_driver_burden,driver_borne_total,driver_burden_ratio,promo_used_rate,promo_dependency,revenue_quartile,promo_intensity_q,signup_month,last_trip_month,is_inactive_20d,is_inactive_30d,recency_bucket,is_high_value,high_value_and_inactive,low_engagement_and_recent,usage_intensity_score
47,Male,2,30,0,Ads,medium,4,152.8,24.03333333333333,0.119047619047619,25.1,10.92,2.553333333333333,7.659999999999999,0.2338217338217338,0.0714285714285714,0,Q3,Mid-Low,2024-01,2025-12,1,1,Inactive,0,0,0,0.4391025641025641
58,Other,5,36,1,Ads,medium,6,83.4,26.135483870967743,0.0967741935483871,29.29,21.5,6.855,13.71,0.3188372093023256,0.064516129032258,0,Q1,Mid-Low,2023-04,2025-10,1,1,Inactive,0,0,0,0.4615384615384615
67,Other,4,4,0,Organic,medium,4,76.06,24.7,0.1428571428571428,21.77,8.24,0.983333333333333,2.949999999999999,0.1193365695792879,0.1071428571428571,1,Q1,Mid-High,2023-11,2025-11,0,0,Recent,0,0,1,0.2889957264957265
41,Female,1,12,1,Referral,high,5,191.98,23.374418604651165,0.1627906976744186,45.86,11.616,2.58,12.9,0.2195371000680735,0.1162790697674418,1,Q4,Mid-High,2025-08,2025-12,0,0,Mid-Recent,1,0,1,0.26976495726495725
23,Other,0,15,0,Referral,high,8,199.7,28.155102040816324,0.2244897959183673,50.3,11.752,1.7979999999999996,8.989999999999998,0.1516275931860347,0.1020408163265306,1,Q4,Mid-High,2024-07,2025-12,0,0,Mid-Inactive,1,0,0,0.5870726495726496
53,Male,5,8,0,Partnership,low,3,99.69,25.194117647058825,0.1764705882352941,6.39,9.0,2.6100000000000003,2.6100000000000003,0.29,0.0294117647058823,0,Q2,Low,2023-01,2025-11,0,0,Mid-Recent,0,0,1,0.35630341880341876
63,Female,1,78,0,Organic,medium,0,128.93,25.202857142857145,0.1714285714285714,39.7,13.355,3.43,13.72,0.2568326469487083,0.1142857142857142,1,Q3,Mid-High,2023-09,2025-11,1,1,Inactive,0,0,0,0.5133547008547008
25,Male,0,0,0,Referral,low,2,36.03,22.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Q1,Low,2024-12,2025-12,0,0,Recent,0,0,1,0.1752136752136752
53,Male,0,7,0,Referral,medium,3,100.67,27.575,0.1875,43.64,11.2875,0.4549999999999999,1.82,0.0400351957765068,0.125,1,Q2,High,2025-08,2025-12,0,0,Recent,0,0,1,0.35470085470085466
32,Male,9,6,0,Organic,high,9,209.69,24.66296296296296,0.1851851851851851,80.3,14.86285714285714,3.424285714285714,23.97,0.2298839551165244,0.1296296296296296,1,Q4,High,2025-09,2025-12,0,0,Recent,1,0,1,0.43482905982905984
35,Other,1,28,0,Ads,medium,4,85.49,27.71333333333333,0.1333333333333333,25.7,11.586666666666666,3.02,9.06,0.260644418872267,0.1,1,Q1,Mid-High,2024-08,2025-11,1,0,Inactive,0,0,0,0.42254273504273504
54,Female,0,39,0,Partnership,medium,5,121.89,23.468421052631577,0.1578947368421052,39.32,15.746666666666668,2.64,7.92,0.1676545300592718,0.0789473684210526,0,Q3,Mid-Low,2023-03,2025-12,1,1,Inactive,0,0,0,0.5539529914529914
24,Other,0,19,0,Organic,high,9,390.64,24.006593406593407,0.1538461538461538,135.19,16.67818181818182,4.388181818181819,48.27,0.2631091246048185,0.1208791208791208,1,Q4,High,2023-02,2025-11,0,0,Mid-Inactive,1,0,0,0.4540598290598291
64,Male,2,4,0,Referral,low,6,42.35,29.130000000000003,0.15,11.44,16.0,4.5600000000000005,4.5600000000000005,0.285,0.05,0,Q1,Low,2025-05,2025-12,0,0,Recent,0,0,1,0.3242521367521367
24,Male,7,3,0,Ads,medium,6,128.28,25.94285714285714,0.0952380952380952,42.870000000000005,13.3025,2.585,10.34,0.1943243751174591,0.0952380952380952,1,Q3,Mid-High,2025-01,2025-12,0,0,Recent,0,0,1,0.3835470085470085
29,Female,6,17,0,Ads,low,5,115.37,24.8936170212766,0.1702127659574468,31.61,9.1225,1.3050000000000002,5.220000000000001,0.1417322834645669,0.0851063829787234,0,Q2,Mid-Low,2024-09,2025-12,0,0,Mid-Inactive,0,0,0,0.32852564102564097
24,Male,0,50,0,Referral,medium,6,42.59,24.575,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0,Q1,Low,2024-10,2025-12,1,1,Inactive,0,0,0,0.20619658119658119
49,Female,2,50,1,Partnership,low,2,57.010000000000005,25.86086956521739,0.1739130434782608,26.23,9.9225,3.365,13.46,0.3391282438901487,0.1739130434782608,1,Q1,High,2024-09,2025-12,1,1,Inactive,0,0,0,0.42735042735042733
18,Female,2,1,0,Partnership,low,1,51.27,24.245454545454542,0.2727272727272727,16.1,7.8,0.3299999999999998,0.6599999999999997,0.0393794749403341,0.0909090909090909,1,Q1,Mid-High,2024-04,2025-10,0,0,Recent,0,0,1,0.3814102564102564
60,Other,0,3,0,Ads,medium,6,99.48,27.194285714285712,0.1142857142857142,40.0,11.44,1.6875,6.75,0.1443850267379679,0.1142857142857142,1,Q2,Mid-High,2024-09,2025-11,0,0,Recent,0,0,1,0.22863247863247863
21,Other,3,5,0,Organic,medium,7,105.23,24.336111111111112,0.2222222222222222,53.79,13.024,2.4179999999999997,12.089999999999996,0.1835154826958105,0.1388888888888889,1,Q2,High,2025-11,2025-12,0,0,Recent,0,0,1,0.17735042735042733
48,Other,5,41,0,Referral,medium,9,114.28,23.86818181818182,0.0227272727272727,14.62,26.0,11.38,11.38,0.4376923076923077,0.0227272727272727,0,Q2,Low,2024-11,2025-11,1,1,Inactive,0,0,0,0.579594017094017
56,Male,0,10,0,Partnership,high,5,169.86,27.626829268292685,0.1707317073170731,3.26,3.18,0.0,0.0,0.0,0.024390243902439,0,Q4,Low,2024-01,2025-11,0,0,Mid-Recent,1,0,1,0.24038461538461536
55,Other,6,21,0,Referral,medium,6,143.33,24.80444444444445,0.1111111111111111,42.55,13.295,2.6575,10.63,0.199887175629936,0.0888888888888888,1,Q3,Mid-High,2023-01,2025-12,1,0,Mid-Inactive,0,0,0,0.5908119658119658
54,Other,4,14,0,Organic,medium,2,103.16,26.450000000000003,0.0555555555555555,21.26,11.89,1.815,3.63,0.1458417034953796,0.0555555555555555,0,Q2,Low,2024-09,2025-12,0,0,Mid-Recent,0,0,1,0.39262820512820507
33,Female,5,67,0,Ads,medium,5,79.23,30.353571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0,Q1,Low,2024-10,2025-10,1,1,Inactive,0,0,0,0.44871794871794873
66,Male,0,57,1,Partnership,medium,7,135.34,23.527083333333334,0.0833333333333333,35.54,12.486666666666666,0.6500000000000004,1.950000000000001,0.0520138703654308,0.0625,0,Q3,Mid-Low,2024-08,2025-12,1,1,Inactive,0,0,0,0.27724358974358976
31,Other,4,8,0,Ads,medium,3,56.32,23.079166666666666,0.25,74.55,16.051666666666666,3.826666666666666,22.96,0.2354630294328787,0.25,1,Q1,High,2024-11,2025-11,0,0,Mid-Recent,0,0,1,0.5010683760683761
41,Female,3,26,0,Partnership,medium,2,93.17,26.76,0.08,9.15,12.28,3.129999999999999,3.129999999999999,0.2548859934853419,0.04,0,Q2,Low,2024-02,2025-11,1,0,Mid-Inactive,0,0,0,0.4567307692307692
18,Other,5,29,0,Referral,medium,3,100.11,25.709090909090907,0.0606060606060606,15.17,29.0,13.83,13.83,0.4768965517241379,0.0303030303030303,0,Q2,Low,2024-12,2025-12,1,0,Inactive,0,0,0,0.5256410256410255
24,Other,2,7,1,Organic,high,2,160.56,23.797222222222224,0.1388888888888889,15.64,9.745,1.925,3.85,0.1975371985633658,0.0555555555555555,0,Q3,Low,2023-11,2025-12,0,0,Recent,0,0,1,0.20512820512820512
63,Female,6,23,1,Organic,medium,4,174.33,23.840740740740745,0.1481481481481481,48.42,12.606666666666667,4.536666666666666,27.22,0.3598625066102591,0.1111111111111111,1,Q4,Mid-High,2025-05,2025-12,1,0,Mid-Inactive,1,1,0,0.5042735042735043
23,Other,17,9,0,Organic,high,21,449.43,24.03220338983051,0.1440677966101695,162.73000000000002,20.66888888888889,2.9066666666666663,26.16,0.1384933029805706,0.0762711864406779,0,Q4,Mid-Low,2023-08,2025-12,0,0,Mid-Recent,1,0,1,0.7847222222222223
67,Male,3,17,0,Ads,medium,3,108.77,26.61142857142857,0.2,43.25,13.4375,2.625,10.499999999999998,0.1953488372093023,0.1142857142857142,1,Q2,Mid-High,2024-04,2025-11,0,0,Mid-Inactive,0,0,0,0.22863247863247863
53,Male,0,0,0,Referral,low,8,94.77,24.539473684210527,0.0526315789473684,22.54,12.38,1.125,2.25,0.09076240419524,0.0526315789473684,0,Q2,Low,2024-10,2025-12,0,0,Recent,0,0,1,0.5122863247863247
41,Other,7,5,0,Partnership,high,8,228.34,24.485714285714288,0.1607142857142857,56.52,10.241428571428573,2.2985714285714285,16.09,0.2215948216499104,0.125,1,Q4,High,2023-09,2025-11,0,0,Recent,1,0,1,0.32532051282051283
41,Male,0,16,0,Ads,medium,4,67.53999999999999,26.37857142857143,0.2142857142857142,72.91,14.553333333333333,2.4516666666666667,14.71,0.1678840447386441,0.2142857142857142,1,Q1,High,2024-10,2025-12,0,0,Mid-Inactive,0,0,0,0.38621794871794873
40,Other,2,6,0,Ads,high,5,64.34,25.41428571428572,0.238095238095238,55.05,23.666666666666668,5.316666666666666,15.95,0.2246478873239436,0.1428571428571428,1,Q1,High,2025-01,2025-12,0,0,Recent,0,0,1,0.1965811965811966
44,Male,0,72,1,Organic,medium,8,148.66,27.84081632653061,0.1632653061224489,37.38,12.28,0.0633333333333325,0.1899999999999977,0.0050572265105136,0.0612244897959183,0,Q3,Mid-Low,2025-11,2025-12,1,1,Inactive,0,0,0,0.2329059829059829
35,Male,0,6,0,Partnership,medium,2,101.0,20.313333333333333,0.2,23.71,11.533333333333331,3.63,10.89,0.3147398843930635,0.1,1,Q2,Mid-High,2025-04,2025-11,0,0,Recent,0,0,1,0.31837606837606836
30,Female,4,7,0,Organic,medium,4,137.37,24.07619047619048,0.0952380952380952,10.43,5.3133333333333335,1.836666666666667,5.51,0.3456712672521957,0.0714285714285714,0,Q3,Mid-Low,2024-04,2025-12,0,0,Recent,0,0,1,0.5571581196581197
60,Male,6,6,0,Organic,high,10,376.85,26.19,0.1555555555555555,64.44,13.758571428571427,4.671428571428572,32.7,0.336627547869055,0.0777777777777777,0,Q4,Mid-Low,2024-07,2025-12,0,0,Recent,1,0,1,0.5470085470085471
40,Other,0,2,0,Organic,medium,5,156.79,22.21636363636364,0.2181818181818181,114.37,15.066666666666666,2.5244444444444443,22.72,0.1657305419797213,0.1636363636363636,1,Q3,High,2025-07,2025-12,0,0,Recent,0,0,1,0.5085470085470085
29,Other,4,2,0,Referral,medium,5,132.58,23.425531914893615,0.1063829787234042,67.53,17.439999999999998,1.005,4.0200000000000005,0.0561844863731656,0.0851063829787234,0,Q3,Mid-Low,2023-08,2025-12,0,0,Recent,0,0,1,0.37713675213675213
40,Other,1,12,0,Partnership,low,5,130.8,27.808695652173917,0.1521739130434782,49.74,12.472,2.524,12.62,0.2023733162283515,0.108695652173913,1,Q3,Mid-High,2025-09,2025-12,0,0,Mid-Recent,0,0,1,0.2617521367521367
30,Female,2,21,1,Partnership,medium,5,72.81,23.478571428571428,0.0357142857142857,12.72,21.0,8.28,8.28,0.3942857142857142,0.0357142857142857,0,Q1,Low,2023-04,2025-11,1,0,Mid-Inactive,0,0,0,0.21955128205128205
61,Other,4,3,0,Organic,medium,4,82.23,26.529411764705884,0.2352941176470588,27.72,13.083333333333334,3.8433333333333337,11.53,0.2937579617834395,0.088235294117647,1,Q1,Mid-High,2024-09,2025-10,0,0,Recent,0,0,1,0.30769230769230765
57,Female,7,18,0,Organic,medium,4,121.32,24.26904761904762,0.1428571428571428,51.5,17.57,4.695,18.78,0.2672168468981218,0.0952380952380952,1,Q2,Mid-High,2025-06,2025-12,0,0,Mid-Inactive,0,0,0,0.4738247863247863
38,Female,2,17,0,Ads,low,4,86.39,24.363636363636363,0.2424242424242424,81.35,17.543333333333333,4.293333333333334,25.76,0.2405004201288395,0.1818181818181818,1,Q1,High,2024-01,2025-12,0,0,Mid-Inactive,0,0,0,0.3520299145299145
61,Other,0,8,0,Organic,low,3,104.01,27.02439024390244,0.2195121951219512,73.38,16.290000000000003,4.06,24.36,0.249232658072437,0.1463414634146341,1,Q2,High,2023-03,2025-12,0,0,Mid-Recent,0,0,1,0.33066239316239315
37,Female,6,7,0,Partnership,high,5,165.18,23.029545454545453,0.2272727272727272,134.38,19.25,2.671250000000001,21.370000000000005,0.137207062600321,0.1818181818181818,1,Q3,High,2023-09,2025-12,0,0,Recent,0,0,1,0.3295940170940171
46,Other,5,35,0,Partnership,low,5,117.22,25.51875,0.1458333333333333,40.84,12.3575,2.1474999999999995,8.589999999999998,0.1737811045923528,0.0833333333333333,0,Q2,Mid-Low,2023-02,2025-12,1,1,Inactive,0,0,0,0.3327991452991453
36,Other,7,36,0,Referral,high,7,269.98,22.611666666666668,0.15,39.09,10.806,2.988,14.94,0.2765130483064963,0.0833333333333333,0,Q4,Mid-Low,2023-06,2025-12,1,1,Inactive,1,1,0,0.3979700854700855
32,Male,3,58,0,Referral,medium,9,154.88,24.53448275862069,0.0689655172413793,8.29,14.0,5.710000000000001,5.710000000000001,0.4078571428571429,0.0172413793103448,0,Q3,Low,2024-03,2025-12,1,1,Inactive,0,0,0,0.6810897435897436
57,Male,3,30,1,Partnership,low,5,75.19,25.56451612903226,0.1935483870967742,28.75,14.176666666666668,4.593333333333333,13.779999999999998,0.3240065835880554,0.0967741935483871,1,Q1,Mid-High,2025-07,2025-12,1,1,Inactive,0,0,0,0.45459401709401703
49,Female,2,49,0,Ads,low,3,150.86,25.23076923076923,0.173076923076923,76.36,13.558571428571428,2.7414285714285715,19.19,0.2008372579801151,0.1346153846153846,1,Q3,High,2024-08,2025-12,1,1,Inactive,0,0,0,0.34294871794871795
32,Male,5,2,1,Referral,low,5,100.43,25.097368421052632,0.2105263157894736,33.99,12.473333333333334,1.3500000000000003,4.050000000000001,0.1064668769716088,0.0789473684210526,0,Q2,Mid-Low,2023-10,2025-11,0,0,Recent,0,0,1,0.5122863247863247
26,Female,3,13,0,Partnership,low,8,85.53,24.164102564102564,0.1025641025641025,36.7,16.593333333333334,4.36,13.08,0.2627561269586179,0.0769230769230769,0,Q1,Mid-Low,2023-09,2025-11,0,0,Mid-Recent,0,0,1,0.530448717948718
28,Other,4,30,1,Partnership,low,5,119.03,24.38636363636364,0.1590909090909091,27.6,15.5,1.7000000000000002,3.4000000000000004,0.1096774193548387,0.0454545454545454,0,Q2,Low,2025-03,2025-12,1,1,Inactive,0,0,0,0.3157051282051282
67,Other,0,17,1,Ads,medium,4,128.89,23.941463414634143,0.0975609756097561,68.28,18.695,1.83,7.32,0.0968253968253968,0.0975609756097561,1,Q3,Mid-High,2024-01,2025-11,0,0,Mid-Inactive,0,0,0,0.45566239316239315
63,Female,2,2,0,Organic,high,5,152.78,25.922500000000003,0.15,49.620000000000005,12.704,2.78,13.9,0.2188287153652392,0.125,1,Q3,High,2024-03,2025-12,0,0,Recent,0,0,1,0.43055555555555547
23,Male,0,26,0,Ads,medium,6,66.6,24.558333333333334,0.125,37.09,16.413333333333334,4.05,12.15,0.2467506092607636,0.125,1,Q1,High,2025-03,2025-12,1,0,Mid-Inactive,0,0,0,0.39690170940170943
63,Male,5,1,1,Partnership,medium,3,171.33,25.308000000000003,0.14,54.25,12.292,1.568,7.84,0.1262683201803833,0.1,1,Q4,Mid-High,2024-12,2025-12,0,0,Recent,1,0,1,0.3899572649572649
47,Female,2,64,1,Ads,medium,1,46.61,25.866666666666667,0.1666666666666666,11.25,22.0,10.75,10.75,0.4886363636363636,0.0555555555555555,0,Q1,Low,2023-09,2025-11,1,1,Inactive,0,0,0,0.3573717948717949
62,Male,1,1,0,Partnership,medium,4,54.16,28.957894736842107,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0,Q1,Low,2023-12,2025-12,0,0,Recent,0,0,1,0.34081196581196577
66,Female,1,14,0,Ads,medium,6,140.5,26.79038461538461,0.1923076923076923,52.71,18.4925,5.315,21.26,0.2874138164120589,0.0769230769230769,0,Q3,Mid-Low,2023-02,2025-12,0,0,Mid-Recent,0,0,1,0.530448717948718
45,Female,0,2,0,Partnership,medium,8,107.09,26.03333333333333,0.2051282051282051,45.33,14.445,3.38,13.52,0.2297366185216652,0.1025641025641025,1,Q2,Mid-High,2023-08,2025-12,0,0,Recent,0,0,1,0.41239316239316237
64,Male,6,10,0,Ads,low,8,122.87,22.495348837209303,0.2558139534883721,104.06,15.37875,2.5175,20.14,0.1621578099838969,0.1860465116279069,1,Q3,High,2025-02,2025-12,0,0,Mid-Recent,0,0,1,0.34615384615384615
54,Other,2,72,1,Referral,medium,9,113.13,25.94375,0.1666666666666666,36.49,17.5,0.0,0.0,0.0,0.0416666666666666,0,Q2,Low,2024-11,2025-12,1,1,Inactive,0,0,0,0.2911324786324786
29,Male,0,17,0,Partnership,low,3,118.16,27.18,0.1,49.8,15.4375,3.37,13.48,0.2130214917825537,0.1,1,Q2,Mid-High,2024-11,2025-11,0,0,Mid-Inactive,0,0,0,0.35416666666666663
38,Female,3,26,0,Organic,low,3,104.34,24.397368421052636,0.1578947368421052,9.18,11.75,2.5700000000000003,2.5700000000000003,0.2187234042553191,0.0263157894736842,0,Q2,Low,2025-01,2025-12,1,0,Mid-Inactive,0,0,0,0.5192307692307692
48,Male,0,7,1,Organic,high,8,268.56,25.67391304347826,0.1739130434782608,110.4,13.97,1.83,16.47,0.1298179238590683,0.1304347826086956,1,Q4,High,2023-04,2025-11,0,0,Recent,1,0,1,0.5267094017094017
67,Other,4,21,0,Referral,high,5,238.62,24.486206896551725,0.1551724137931034,82.99,14.295714285714284,2.471428571428571,17.299999999999997,0.1724997507229035,0.1206896551724138,1,Q4,High,2025-02,2025-12,1,0,Mid-Inactive,1,1,0,0.5213675213675213
57,Male,1,1,1,Ads,high,3,72.54,26.889473684210525,0.1578947368421052,2.92,3.18,0.2600000000000002,0.2600000000000002,0.0817610062893082,0.0526315789473684,0,Q1,Low,2024-05,2025-11,0,0,Recent,0,0,1,0.24358974358974356
54,Male,5,16,0,Organic,high,7,204.32,24.52173913043478,0.2391304347826087,51.02,12.168,1.964,9.82,0.1614069690992767,0.108695652173913,1,Q4,Mid-High,2025-02,2025-12,0,0,Mid-Inactive,1,0,0,0.2825854700854701
56,Other,4,38,1,Ads,medium,0,75.69,23.97083333333333,0.25,27.04,13.5,0.5699999999999998,1.1399999999999997,0.0404542228530872,0.0833333333333333,0,Q1,Mid-Low,2023-11,2025-12,1,1,Inactive,0,0,0,0.4732905982905983
19,Female,4,11,1,Partnership,medium,9,96.09,23.635135135135137,0.2162162162162162,106.69,22.248,1.2699999999999996,6.349999999999998,0.056174805378627,0.1351351351351351,1,Q2,High,2023-12,2025-12,0,0,Mid-Recent,0,0,1,0.45245726495726496
62,Other,8,3,0,Referral,medium,8,114.85,22.16590909090909,0.1818181818181818,39.52,12.2325,2.5325,10.13,0.2040281973816717,0.0909090909090909,1,Q2,Mid-High,2023-12,2025-12,0,0,Recent,0,0,1,0.4268162393162393
25,Other,5,40,0,Organic,medium,8,66.81,23.232142857142858,0.1428571428571428,42.54,16.676666666666666,2.496666666666666,7.489999999999998,0.1497101738956625,0.1071428571428571,1,Q1,Mid-High,2024-11,2025-11,1,1,Inactive,0,0,0,0.21260683760683763
22,Other,0,44,1,Referral,medium,3,50.18,25.95714285714286,0.1904761904761904,13.54,12.495,5.725,11.45,0.4581832733093237,0.0952380952380952,1,Q1,Mid-High,2025-05,2025-12,1,1,Inactive,0,0,0,0.37713675213675213
45,Female,7,17,1,Ads,high,6,174.53,23.92,0.1555555555555555,48.83,17.613999999999997,7.848000000000001,39.24,0.4455546724196662,0.1111111111111111,1,Q4,Mid-High,2025-03,2025-12,0,0,Mid-Inactive,1,0,0,0.31997863247863245
59,Female,2,3,0,Partnership,medium,2,86.2,27.392857142857142,0.1071428571428571,30.26,12.6,2.613333333333333,7.839999999999999,0.205774278215223,0.1071428571428571,1,Q1,Mid-High,2025-10,2025-12,0,0,Recent,0,0,1,0.24038461538461542
35,Female,1,24,0,Referral,medium,4,121.22,25.58205128205128,0.2564102564102564,50.37,13.69,1.3775000000000004,5.510000000000002,0.098604151753758,0.1025641025641025,1,Q2,Mid-High,2023-07,2025-11,1,0,Mid-Inactive,0,0,0,0.454059829059829
66,Female,3,32,1,Organic,medium,8,155.3,26.031372549019608,0.1372549019607843,27.01,11.173333333333332,2.1699999999999995,6.509999999999998,0.1942124105011932,0.0588235294117647,0,Q3,Mid-Low,2024-09,2025-12,1,1,Inactive,0,0,0,0.5539529914529915
29,Female,3,18,0,Organic,medium,7,87.36,23.403125,0.125,31.4,14.093333333333334,3.6266666666666665,10.88,0.2573320719016083,0.09375,1,Q1,Mid-High,2023-02,2025-11,0,0,Mid-Inactive,0,0,0,0.5213675213675213
56,Other,6,5,0,Referral,medium,5,152.2,25.822,0.16,20.840000000000003,7.756666666666667,0.8233333333333329,2.469999999999999,0.1059631059631059,0.06,0,Q3,Mid-Low,2024-01,2025-12,0,0,Recent,0,0,1,0.6191239316239316
64,Female,3,19,0,Ads,medium,4,221.96,25.966666666666665,0.1212121212121212,68.6,15.784,2.258,11.29,0.1413193140568281,0.0757575757575757,0,Q4,Mid-Low,2023-06,2025-12,0,0,Mid-Inactive,1,0,0,0.638888888888889
46,Male,2,33,0,Organic,low,3,93.59,22.59705882352941,0.0588235294117647,27.15,25.0,0.0,0.0,0.0,0.0294117647058823,0,Q2,Low,2023-11,2025-11,1,1,Inactive,0,0,0,0.25213675213675213
37,Other,7,65,1,Partnership,medium,4,191.21,26.922807017543857,0.1228070175438596,43.46,10.552,2.03,10.15,0.1893303488155194,0.087719298245614,1,Q4,Mid-High,2024-07,2025-12,1,1,Inactive,1,1,0,0.5101495726495726
39,Female,1,86,0,Organic,medium,1,48.11,23.70625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0,Q1,Low,2025-02,2025-12,1,1,Inactive,0,0,0,0.19604700854700852
25,Other,4,6,0,Organic,medium,1,165.31,26.921739130434784,0.0434782608695652,20.27,12.38,2.245,4.49,0.1813408723747981,0.0434782608695652,0,Q3,Low,2024-06,2025-12,0,0,Recent,0,0,1,0.5395299145299145
